title,artist,chords_url
Meet Me at Our Spot,The Anxiety,https://tabs.ultimate-guitar.com/tab/the-anxiety/meet-me-at-our-spot-chords-3427628
Messy,Lola Young,https://tabs.ultimate-guitar.com/tab/lola-young/messy-chords-5297307
Midnight Sun,Zara Larsson,https://tabs.ultimate-guitar.com/tab/zara-larsson/midnight-sun-chords-5834375
Mine,"Beyonce, Drake",https://www.mychordbook.com/chords/beyonc/mine-ft-drake
Mine,Taylor Swift,https://chordseasy.com/song/27935/mine-taylor-swift/
Misty,Johnny Mathis,https://tabs.ultimate-guitar.com/tab/johnny-mathis/misty-chords-3299927
Moondance,Van Morrison,https://tabs.ultimate-guitar.com/tab/van-morrison/moondance-chords-29623
Moonlight in Vermont,Ella Fitzgerald,https://tabs.ultimate-guitar.com/tab/ella-fitzgerald/moonlight-in-vermont-chords-4444547
More Than Words,Extreme,https://tabs.ultimate-guitar.com/tab/extreme/more-than-words-chords-14087
More than a Feeling,Boston,https://tabs.ultimate-guitar.com/tab/boston/more-than-a-feeling-chords-1050593
Motion Sickness,Phoebe Bridgers,https://tabs.ultimate-guitar.com/tab/phoebe-bridgers/motion-sickness-chords-3368993xkiw
Mr. Brightside,The Killers,https://tabs.ultimate-guitar.com/tab/the-killers/mr-brightside-chords-202646
Murder on the Dancefloor,Sophie Ellis Baxtor,https://tabs.ultimate-guitar.com/tab/sophie-ellis-bextor/murder-on-the-dancefloor-chords-1836623
My Girl,Temptations,https://tabs.ultimate-guitar.com/tab/the-temptations/my-girl-chords-86366
My Life Would Suck WIthout You,Kelly Clarkson,https://tabs.ultimate-guitar.com/tab/kelly-clarkson/my-life-will-suck-without-you-chords-797894
My Own Worst Enemy,Lit,https://tabs.ultimate-guitar.com/tab/lit/my-own-worst-enemy-chords-950238
My Way,Frank Sinatra,https://tabs.ultimate-guitar.com/tab/frank-sinatra/my-way-chords-383263
NASA,Ariana Grande,https://www.mychordbook.com/chords/ariana-grande/nasa
Need You Now,Lady A,https://tabs.ultimate-guitar.com/tab/lady-a-lady-antebellum/need-you-now-chords-866111
Needy,Ariana Grande,https://genius.com/Ariana-grande-needy-lyrics
New Rules,Dua Lipa,https://chordseasy.com/song/18715/new-rules/
New York State of Mind,Billie Joel,https://tabs.ultimate-guitar.com/tab/billy-joel/new-york-state-of-mind-chords-1006035
New York New York,Frank Sinatra,https://tabs.ultimate-guitar.com/tab/frank-sinatra/new-york-new-york-chords-84884
Night and Day,Cole Porter,https://tabs.ultimate-guitar.com/tab/cole-porter/night-and-day-chords-1126797
Nights Like This,Kehlani,Dm C Bb Dm C Bb // Bb F Bb F Bb Dm Gm C
No Diggity,Blackstreet,Really just F#m and C#/Eb peppered in
No Tears Left to Cry,Ariana Grande,https://tabs.ultimate-guitar.com/tab/ariana-grande/no-tears-left-to-cry-chords-2371739
Nobody Gets Me,SZA,https://tabs.ultimate-guitar.com/tab/sza/nobody-gets-me-chords-4454243
Old Time Rock and Roll,Bob Seger,https://tabs.ultimate-guitar.com/tab/bob-seger/old-time-rock-and-roll-chords-2581740
On The Street Where You Live,Lerner & Loewe,https://tabs.ultimate-guitar.com/tab/lerner-loewe/on-the-street-where-you-live-chords-1706841
On The Street Where You Live,My Fair Lady Cast,https://tabs.ultimate-guitar.com/tab/nat-king-cole/on-the-street-where-you-live-chords-5997410
One Dance,Drake,https://tabs.ultimate-guitar.com/tab/drake/one-dance-chords-1835830
Only 1,Ariana Grande,https://tabs.ultimate-guitar.com/tab/ariana-grande/only-1-chords-2883923
Ordinary People,John Legend,https://tabs.ultimate-guitar.com/tab/john-legend/ordinary-people-chords-494857
Our Song,Taylor Swift,https://chordseasy.com/song/28228/our-song
Paper Bag,Fiona Apple,https://tabs.ultimate-guitar.com/tab/fiona-apple/paper-bag-chords-1034733
Paper Planes,MIA,https://tabs.ultimate-guitar.com/tab/m-i-a-/paper-planes-chords-764370
Party in the USA,Miley Cyrus,https://chordseasy.com/song/13269/party-in-the-usa
Peaches,Justin Bieber,https://tabs.ultimate-guitar.com/tab/justin-bieber/peaches-chords-3616940
Pennies from Heaven,Louie Armstrong,https://tabs.ultimate-guitar.com/tab/louis-prima/pennies-from-heaven-chords-3136172
Perfect,Ed Sheeran,https://tabs.ultimate-guitar.com/tab/ed-sheeran/perfect-chords-1956589
Piano Man,Billie Joel,https://tabs.ultimate-guitar.com/tab/billy-joel/piano-man-chords-1051336
Please Please Please,Sabrina Carpenter,https://tabs.ultimate-guitar.com/tab/sabrina-carpenter/please-please-please-chords-5299629
Poker Face,Lady Gaga,https://tabs.ultimate-guitar.com/tab/lady-gaga/poker-face-chords-810048
Pumped Up Kicks,Foster the People,https://tabs.ultimate-guitar.com/tab/foster-the-people/pumped-up-kicks-chords-1098165
Purple Rain,Prince,https://tabs.ultimate-guitar.com/tab/prince/purple-rain-chords-413679
Pursuit of Happiness,Kid Cudi,https://tabs.ultimate-guitar.com/tab/kid-cudi/pursuit-of-happiness-chords-872901
Put Your Records On,Corinne Bailey Rae,https://tabs.ultimate-guitar.com/tab/corinne-bailey-rae/put-your-records-on-chords-1079862
Real Love Baby,Father John Misty,https://tabs.ultimate-guitar.com/tab/father-john-misty/real-love-baby-chords-1895748
Rhiannon,Fleetwood Mac,https://tabs.ultimate-guitar.com/tab/fleetwood-mac/rhiannon-chords-42801
Ring of Fire,Johnny Cash,https://tabs.ultimate-guitar.com/tab/johnny-cash/ring-of-fire-chords-63352
Rocket Man,Elton John,https://www.mychordbook.com/chords/elton-john/rocket-man
Rolling in The Deep,Adele,https://tabs.ultimate-guitar.com/tab/adele/rolling-in-the-deep-chords-1028320
Save Me The Trouble,Dan + Shay,https://tabs.ultimate-guitar.com/tab/dan-shay/save-me-the-trouble-chords-4872035
Save Your Tears,The Weeknd,https://tabs.ultimate-guitar.com/tab/the-weeknd/save-your-tears-chords-3035397
Say Goodbye to Hollywood,Billie Joel,https://tabs.ultimate-guitar.com/tab/billy-joel/say-goodbye-to-hollywood-chords-1006032
Say It Ain't So,Weezer,https://tabs.ultimate-guitar.com/tab/weezer/say-it-aint-so-chords-613275
Say My Name,Destiny's Child,https://www.mychordbook.com/chords/destiny-s-child/say-my-name
Say a Little Prayer,Aretha Franklin,https://tabs.ultimate-guitar.com/tab/aretha-franklin/i-say-a-little-prayer-chords-276769
Scars to Your Beautiful,Alessia Cara,https://tabs.ultimate-guitar.com/tab/alessia-cara/scars-to-your-beautiful-chords-1789184
September,"Earth, Wind, & Fire",https://tabs.ultimate-guitar.com/tab/earth-wind-fire/september-chords-1017846
Seven Nation Army,White Stripes,https://tabs.ultimate-guitar.com/tab/the-white-stripes/seven-nation-army-chords-52559
Sex on Fire,Kings of Leon,https://tabs.ultimate-guitar.com/tab/kings-of-leon/sex-on-fire-chords-723359
She's Always a Woman,Billie Joel,https://tabs.ultimate-guitar.com/tab/billy-joel/shes-always-a-woman-chords-583675
Shut Up and Drive,Rihanna,https://tabs.ultimate-guitar.com/tab/rihanna/shut-up-and-drive-chords-959268
Signed Sealed Delivered,Stevie Wonder,https://tabs.ultimate-guitar.com/tab/stevie-wonder/signed-sealed-delivered-im-yours-chords-1240604
Sitting on the Dock of the Bay,Otis Redding,https://tabs.ultimate-guitar.com/tab/otis-redding/sittin-on-the-dock-of-the-bay-chords-1088518
Slow Burn,Kacey Musgraves,https://tabs.ultimate-guitar.com/tab/kacey-musgraves/slow-burn-chords-2355631
Slow Dancing in a Burning Room,John Mayer,https://tabs.ultimate-guitar.com/tab/john-mayer/slow-dancing-in-a-burning-room-chords-706621
Smells Like Teen Spirit,Nirvana,https://tabs.ultimate-guitar.com/tab/nirvana/smells-like-teen-spirit-chords-1517379
Smile,Lily Allen,https://tabs.ultimate-guitar.com/tab/lily-allen/smile-chords-2256815
Smile,Nat King Cole,https://tabs.ultimate-guitar.com/tab/nat-king-cole/smile-chords-1714875
Snooze,SZA,https://tabs.ultimate-guitar.com/tab/sza/snooze-chords-4457303
Some Kind of Wonderful,Grand Funk Railroad,https://tabs.ultimate-guitar.com/tab/grand-funk-railroad/some-kind-of-wonderful-chords-597547
Someday,The Strokes,https://tabs.ultimate-guitar.com/tab/the-strokes/someday-chords-142675
Someone Like You,Adele,https://tabs.ultimate-guitar.com/tab/adele/someone-like-you-chords-1006751
Something In Between,Olivia Dean,https://tabs.ultimate-guitar.com/tab/olivia-dean/something-inbetween-chords-5964068
